doculect,glottologFamily,iso,population,latitude,longitude,continent,nPhonemes
PILAGA,Guaicuruan,plg,4000,-25.0,-60.0,SouthAmerica,22
IRARUTU,Austronesian,irh,4000,-3.0,133.5,Oceania,19
YANAC,Quechuan,qwa,4000,-8.62,-77.87,SouthAmerica,24
AFITTI,Nyimang,aft,4000,12.47,30.75,Africa,26
CROW,Siouan,cro,3960,47.0,-108.0,NorthAmerica,23
MADIJA,Arawan,cul,3900,-6.0,-70.5,SouthAmerica,21
LOKONO,Arawakan,arw,3850,5.5,-55.17,SouthAmerica,21
KONNI,Atlantic-Congo,kma,3800,10.25,-1.58,Africa,49
SAEK_2,Tai-Kadai,skb,3730,17.42,104.75,Asia,44
YAMBETA,Atlantic-Congo,yat,3700,5.03,10.97,Africa,28
SEKOLA_LONTHOIR_BANDA,Austronesian,bpq,3690,-4.54,129.87,Oceania,23
KORAFE_YEGHA,Nuclear_Trans_New_Guinea,kpr,3630,-9.08,149.3,Oceania,24
SUENA,Nuclear_Trans_New_Guinea,sue,3600,-7.75,147.55,Oceania,18
CHINANTEC_SOCHIAPAN,Otomanguean,cso,3590,17.75,-96.67,SouthAmerica,39
KEMEZUNG,Atlantic-Congo,dmo,3540,6.75,10.5,Africa,34
PANARE,Cariban,pbh,3540,6.5,-66.0,SouthAmerica,25
CUNA,Chibchan,kvn,3500,8.0,-77.33,SouthAmerica,21
SHIRUMBA,Heibanic,shw,3500,11.12,30.38,Africa,38
DESANO,Tucanoan,des,3420,0.83,-69.83,SouthAmerica,18
BLACKFOOT,Algic,bla,3350,50.0,-112.67,NorthAmerica,25
BATS,Nakh-Daghestanian,bbl,3200,42.5,45.5,Asia,45
GATA,Austroasiatic,gaq,3060,18.8,82.7,Asia,38
SAYULA_POPOLUCA,Mixe-Zoque,pos,3030,17.83,-95.0,SouthAmerica,25
AYERE,Atlantic-Congo,aye,3000,7.5,6.0,Africa,43
NAKI,Atlantic-Congo,mff,3000,6.75,10.25,Africa,44
NAHUATL_POMARO_AQUILA,Uto-Aztecan,ncl,3000,18.5,-103.0,SouthAmerica,25
KOSHIN,Atlantic-Congo,kid,3000,6.58,10.33,Africa,37
WAMBON,Nuclear_Trans_New_Guinea,wms,3000,-5.5,140.42,Oceania,26
TEPEHUA_TLACHICHILCO,Totonacan,tpt,3000,20.63,-98.2,SouthAmerica,34
TEPEHUA_HUEHUETLA,Totonacan,tee,3000,20.83,-98.17,SouthAmerica,36
ADANG_PITUNG,Timor-Alor-Pantar,adn,3000,-8.17,124.47,Oceania,40
WAWA,Atlantic-Congo,www,3000,6.83,11.75,Africa,49
KALADDARSCH,Kolopom,kig,3000,-8.0,138.5,Oceania,44
INUPIAQ,Eskimo-Aleut,esi,3000,67.0,-161.0,NorthAmerica,27
MOCOVI,Guaicuruan,moc,3000,-27.0,-62.0,SouthAmerica,31
SURSURUNGA,Austronesian,sgz,3000,-3.88,152.77,Oceania,21
KWOMA,Sepik,kmo,3000,-4.17,142.75,Oceania,31
