doculect,glottologFamily,iso,population,latitude,longitude,continent,nPhonemes
JICAQUE,Jicaquean,jic,350,14.67,-87.0,SouthAmerica,28
CHIMILA,Chibchan,cbg,350,10.0,-74.0,SouthAmerica,36
KILDIN_SAAMI,Uralic,sjd,350,67.0,37.0,Europe,128
TUPARI,Tupian,tpr,340,-11.6,-61.9,SouthAmerica,29
ARARA_DO_PARA,Cariban,aap,340,-3.62,-53.0,SouthAmerica,17
TAMASOPO_PAME,Otomanguean,pmq,340,21.92,-99.4,SouthAmerica,54
GAVIAO_DO_RONDONIA,Tupian,gvo,340,-10.67,-62.0,SouthAmerica,29
GOBABINGO,Pama-Nyungan,guf,330,-12.25,135.5,Oceania,31
MAMAINDE,Nambiquaran,wmd,330,-12.75,-59.17,SouthAmerica,34
SHAWNEE,Algic,sjw,320,35.35,-96.76,NorthAmerica,19
WAURA,Arawakan,wau,320,-12.0,-53.0,SouthAmerica,26
MATIS,Pano-Tacanan,mpq,320,-4.42,-70.25,SouthAmerica,21
NYANGUMARTA,Pama-Nyungan,nna,310,-20.0,121.0,Oceania,27
IKPENG,Cariban,txi,310,-11.38,-53.42,SouthAmerica,18
YINDJIBARNDI,Pama-Nyungan,yij,310,-21.75,117.92,Oceania,25
TANIMUCA,Tucanoan,tnc,300,-0.5,-70.67,SouthAmerica,21
CAMPA_DE_PERENE,Arawakan,prq,300,-11.05,-75.32,SouthAmerica,28
ASURINI,Tupian,asu,300,-3.5,-49.5,SouthAmerica,16
CAQUINTE,Arawakan,cot,300,-11.5,-73.5,SouthAmerica,27
PAUMARI,Arawan,pad,290,-6.0,-64.0,SouthAmerica,28
COWICHAN,Salishan,hur,285,49.25,-122.5,NorthAmerica,47
GUAJA,Tupian,gvj,280,-3.75,-46.17,SouthAmerica,24
JURUNA,Tupian,jur,280,-5.0,-54.5,SouthAmerica,28
ARAWETE,Tupian,awt,280,-5.0,-52.24,SouthAmerica,21
KAXARARI,Pano-Tacanan,ktx,270,-9.42,-66.25,SouthAmerica,20
YOLNGUMATHA,Pama-Nyungan,dhg,270,-12.67,136.75,Oceania,26
TOKITIN_KARATA,Nakh-Daghestanian,kpt,260,43.49,46.62,Asia,53
MAWNG,Iwaidjan_Proper,mph,260,-11.92,133.5,Oceania,24
KWAKWALA,Wakashan,kwk,255,51.0,-127.0,NorthAmerica,55
ACHAGUA,Arawakan,aca,250,4.42,-72.25,SouthAmerica,29
KOKAMA,Tupian,cod,250,-5.0,-74.5,SouthAmerica,16
MAFEA,Austronesian,mkv,250,-15.4,167.23,Oceania,24
DJEEBBANA,Maningrida,djj,240,-12.17,134.17,Oceania,21
GOMAIDJ,Pama-Nyungan,gnn,240,-12.5,135.5,Oceania,31
BARE,Arawakan,bae,240,1.0,-67.0,SouthAmerica,23
MEHINAKU,Arawakan,mmh,230,-12.5,-53.5,SouthAmerica,23
OREJON,Tucanoan,ore,220,-2.83,-72.5,SouthAmerica,20
SIRIANO,Tucanoan,sri,217,0.75,-70.17,SouthAmerica,23
KET,Yeniseian,ket,210,64.0,87.0,Asia,32
DJINANG,Pama-Nyungan,dji,210,-12.33,134.83,Oceania,25
KARO_BRAZIL,Tupian,arr,210,-10.33,-62.0,SouthAmerica,27
KARITIANA,Tupian,ktn,210,-9.5,-64.0,SouthAmerica,25
KITJA,Jarrakan,gia,210,-17.5,127.75,Oceania,24
MIRIWUNG,Jarrakan,mep,210,-15.67,129.0,Oceania,20
GILYAK_WEST_SAKHALIN,Nivkh,niv,200,53.33,142.0,Asia,44
MBALANHU,Atlantic-Congo,lnb,200,-17.5,15.0,Africa,31
NYEU,Austroasiatic,nyl,200,15.0,104.25,Asia,40
SHUSWAP,Salishan,shs,200,52.0,-120.0,NorthAmerica,44
ONGAMO,Nilotic,nsg,200,-3.03,37.47,Africa,31
AJA,Kresh-Aja,aja,200,7.33,25.67,Africa,48
MBU,Atlantic-Congo,muc,200,6.4,10.05,Africa,39
DEFAKA,Ijoid,afn,200,4.58,7.5,Africa,42
OCAINA_2,Huitotoan,oca,194,-2.75,-71.75,SouthAmerica,38
ONEIDA,Iroquoian,one,192,43.0,-75.67,NorthAmerica,22
AIKANA,Aikana,tba,180,-12.67,-60.67,SouthAmerica,32
NGANGIKURRUNGGURR,Southern_Daly,nam,180,-14.0,130.5,Oceania,28
COAST_TSIMSHIAN,Tsimshian,tsi,178,52.5,-129.0,NorthAmerica,41
DALWONGO,Pama-Nyungan,dax,170,-12.92,136.17,Oceania,26
ALABAMA,Muskogean,akz,170,32.33,-87.41,NorthAmerica,21
AWETI,Tupian,awe,170,-12.87,-53.53,SouthAmerica,26
BARDI,Nyulnyulan,bcj,160,-16.58,122.92,Oceania,24
ALEUT,Eskimo-Aleut,ale,155,54.0,-166.0,NorthAmerica,36
MUINANE_2,Boran,bmr,150,-1.0,-72.5,SouthAmerica,28
YIDINY,Pama-Nyungan,yii,150,-17.0,145.75,Oceania,16
TEMBE,Tupian,tqb,150,-5.5,-45.5,SouthAmerica,21
KAYTETYE,Pama-Nyungan,gbb,140,-19.38,134.1,Oceania,43
IWAIDJA,Iwaidjan_Proper,ibd,140,-11.5,132.67,Oceania,23
GODOBERI,Nakh-Daghestanian,gdo,130,42.67,46.08,Asia,66
NOOTKA,Wakashan,nuk,130,49.67,-126.67,NorthAmerica,47
YANYUWA,Pama-Nyungan,jao,120,-16.42,137.17,Oceania,32
ASURINI_XINGU,Tupian,asn,120,-4.25,-52.67,SouthAmerica,27
DJAMINDJUNG,Mirndi,djd,120,-15.08,130.5,Oceania,22
BUNABA,Bunaban,bck,110,-17.75,125.75,Oceania,24
NUNGGUBUYU,Gunwinyguan,nuy,110,-13.75,135.67,Oceania,24
ARAONA,Pano-Tacanan,aro,110,-12.33,-67.75,SouthAmerica,23
WIRADHURI,Pama-Nyungan,wrh,100,-34.0,146.0,Oceania,21
WAALUBAL,Pama-Nyungan,bdy,100,-28.42,152.42,Oceania,20
COMANCHE,Uto-Aztecan,com,100,33.5,-101.5,NorthAmerica,18
SENECA,Iroquoian,see,100,42.5,-77.5,NorthAmerica,27
UDEHE,Tungusic,ude,100,47.67,136.25,Asia,40
NEZ_PERCE,Sahaptian,nez,100,46.0,-116.0,NorthAmerica,36
TARIANA,Arawakan,tae,100,1.0,-69.17,SouthAmerica,38
PANYTYIMA,Pama-Nyungan,pnw,98,-22.83,118.42,Oceania,25
ONGE,Jarawa-Onge,oon,94,10.75,92.42,Asia,24
TOFA,Turkic,kim,93,53.75,98.0,Asia,67
WAJARRI,Pama-Nyungan,wbv,89,-26.0,117.5,Oceania,26
WAMBAYA,Mirndi,wmb,89,-18.67,135.75,Oceania,23
URUEWAUWAU,Tupian,urz,87,-11.0,-64.0,SouthAmerica,26
DAW,Nadahup,kwa,85,-0.25,-67.08,SouthAmerica,39
WARDAMAN,Yangmanic,wrr,84,-15.5,131.0,Oceania,22
AMONDAVA,Tupian,adw,83,-11.14,-63.77,SouthAmerica,26
KARAIM,Turkic,kdr,81,54.67,24.92,Europe,37
N_ITELMEN,Chukotko-Kamchatkan,itl,80,57.5,158.0,Asia,32
DOMPO,Atlantic-Congo,doy,65,8.15,-2.37,Africa,31
TANACROSS,Athabaskan-Eyak-Tlingit,tcb,60,63.5,-143.5,NorthAmerica,54
GARAWA,Garrwan,wrk,59,-17.08,137.17,Oceania,22
KOASATI,Muskogean,cku,59,30.46,-92.64,NorthAmerica,25
NGARINYIN,Worrorran,ung,57,-16.33,126.0,Oceania,24
MARA,Mangarrayi-Maran,mec,57,-15.0,135.17,Oceania,24
DJINGILI,Mirndi,jig,52,-17.75,134.0,Oceania,20
TRUMAI,Trumai,tpy,51,-11.92,-53.58,SouthAmerica,24
TEPES,Kuliak,teu,50,2.58,34.75,Africa,28
ARABELA,Zaparoan,arl,50,-2.0,-75.17,SouthAmerica,18
CAPANAHUA,Pano-Tacanan,kaq,50,-7.0,-74.0,SouthAmerica,24
DJINBA,Pama-Nyungan,djb,45,-13.0,135.0,Oceania,25
MAKURAP,Tupian,mpu,45,-12.5,-62.5,SouthAmerica,20
DJAUAN,Gunwinyguan,djn,43,-14.08,133.25,Oceania,27
GUMBAYNGGIR,Pama-Nyungan,kgs,42,-30.17,152.5,Oceania,19
IRANTXE,Iranxe,irn,40,-13.0,-58.0,SouthAmerica,39
BAURE,Arawakan,brg,40,-13.08,-64.17,SouthAmerica,18
RIKBAKTSA,Nuclear-Macro-Je,rkb,40,-11.83,-57.5,SouthAmerica,28
RAINBARNGO,Gunwinyguan,rmb,36,-12.83,134.58,Oceania,28
GAMILARAAY,Pama-Nyungan,kld,35,-29.83,149.5,Oceania,21
IQUITO,Zaparoan,iqu,35,-3.25,-74.0,SouthAmerica,19
MULLUKMULLUK,Northern_Daly,mpb,33,-13.42,130.42,Oceania,19
RITHARNGU,Pama-Nyungan,rit,32,-12.83,135.5,Oceania,31
MOR_2,Mor,moq,30,-2.83,132.67,Oceania,19
AMI,Western_Daly,amy,30,-13.5,130.0,Oceania,32
THAYORE,Pama-Nyungan,thd,29,-14.35,141.5,Oceania,26
DYIRBAL,Pama-Nyungan,dbl,29,-17.83,145.58,Oceania,16
DYAABUGAY,Pama-Nyungan,dyy,29,-16.75,145.58,Oceania,19
NGALOOMA,Pama-Nyungan,nrl,26,-20.83,117.5,Oceania,23
CADDO,Caddoan,cad,25,33.33,-93.5,NorthAmerica,23
ALUTOR,Chukotko-Kamchatkan,alr,25,61.0,165.0,Asia,27
MEKENS,Tupian,skf,25,-12.5,-61.5,SouthAmerica,35
DARLING,Pama-Nyungan,drl,24,-32.5,142.5,Oceania,26
LARRAKIA,Larrakiyan,lrg,23,-12.67,130.83,Oceania,24
KAYARDILD,Tangkic,gyd,23,-17.05,139.5,Oceania,23
AIHUI_MANCHU,Tungusic,mnc,20,50.25,127.5,Asia,25
PARAUJANO,Arawakan,pbg,20,10.83,-71.92,SouthAmerica,25
PANAMINT,Uto-Aztecan,par,20,37.0,-117.0,NorthAmerica,36
NYANGI,Kuliak,nyp,20,3.42,33.58,Africa,25
YABARANA,Cariban,yar,20,5.33,-66.25,SouthAmerica,18
LEKO,Leko,lec,20,-16.0,-65.5,SouthAmerica,30
LAMALAMA_INLAND,Pama-Nyungan,lby,19,-14.83,143.83,Oceania,29
KOKATA,Pama-Nyungan,ktd,19,-30.0,134.0,Oceania,23
BELLA_COOLA,Salishan,blc,17,52.5,-126.67,NorthAmerica,31
KRIM,Atlantic-Congo,krm,15,7.25,-11.83,Africa,38
MARITHIEL,Western_Daly,mfr,15,-13.83,130.0,Oceania,24
MATNGALA,Eastern_Daly,zml,15,-13.83,130.42,Oceania,22
AVA_CANOEIRO,Tupian,avv,14,-11.3,-50.0,SouthAmerica,24
RESIGARO,Arawakan,rgr,14,-2.42,-71.5,SouthAmerica,35
KUUKU_YAU,Pama-Nyungan,kuy,13,-12.58,143.08,Oceania,21
QAWASQAR,Kawesqar,alc,12,-49.0,-75.0,SouthAmerica,19
KAROK,Karuk,kyh,12,41.67,-123.0,NorthAmerica,41
YUROK,Algic,yur,12,41.33,-124.0,NorthAmerica,35
MAPOYO,Cariban,mcg,12,6.0,-67.0,SouthAmerica,19
SALISH_STRAITS,Salishan,str,12,48.75,-123.25,NorthAmerica,43
MANGARAYI,Mangarrayi-Maran,mpc,12,-14.67,133.5,Oceania,22
ARABANA,Pama-Nyungan,ard,12,-28.25,136.25,Oceania,24
BUAN,Gunwinyguan,ngk,11,-13.5,134.83,Oceania,29
ACHUMAWI,Palaihnihan,acv,10,41.5,-121.0,NorthAmerica,23
KURRAMA,Pama-Nyungan,vku,10,-22.0,117.75,Oceania,27
OMAGUA,Tupian,omg,10,-4.0,-73.5,SouthAmerica,18
KRENAK,Nuclear-Macro-Je,kqq,10,-18.67,-41.0,SouthAmerica,35
DIYARI,Pama-Nyungan,dif,10,-28.0,139.0,Oceania,25
WASHO,Washo,was,10,39.25,-120.0,NorthAmerica,32
LUSHOOTSEED,Salishan,lut,10,48.0,-122.0,NorthAmerica,37
WAGIMAN,Wagiman,waq,10,-14.0,131.25,Oceania,27
MARAMANADJI,Western_Daly,zmm,10,-14.25,130.67,Oceania,20
DARRKINYUNG,Pama-Nyungan,xda,10,-32.93,150.68,Oceania,18
HUPA,Athabaskan-Eyak-Tlingit,hup,8,41.08,-123.67,NorthAmerica,42
YAWALAPITI,Arawakan,yaw,8,-12.5,-53.42,SouthAmerica,21
YANANGO,Pama-Nyungan,jay,7,-12.08,134.92,Oceania,31
SABANE,Nambiquaran,sae,7,-13.1,-60.6,SouthAmerica,18
KWAZA,Kwaza,xwa,7,-12.58,-60.67,SouthAmerica,45
SQUAMISH,Salishan,squ,7,49.67,-123.17,NorthAmerica,37
S_SIERRA_MIWOK,Miwok-Costanoan,skd,7,37.5,-120.0,NorthAmerica,21
CARIJONA,Cariban,cbd,6,1.0,-73.0,SouthAmerica,21
MARENGAR,Western_Daly,zmt,6,-14.25,130.0,Oceania,32
MARTUTHUNIRA,Pama-Nyungan,vma,5,-20.83,116.5,Oceania,26
ITONAMA,Itonama,ito,5,-12.83,-64.33,SouthAmerica,25
WADYGINY,Anson_Bay,wdj,5,-13.17,130.17,Oceania,22
GALKE,Atlantic-Congo,gke,5,8.08,14.33,Africa,57
ZAPARO,Zaparoan,zro,5,-2.0,-76.33,SouthAmerica,22
KANOE,Kanoe,kxo,5,-13.33,-61.06,SouthAmerica,26
NGARIGU,Pama-Nyungan,xni,5,-36.23,149.13,Oceania,18
MARANUNGGU,Western_Daly,zmr,5,-13.67,130.0,Oceania,24
KAWAIISU,Uto-Aztecan,xaw,5,36.0,-117.5,NorthAmerica,31
LUISENO,Uto-Aztecan,lui,5,33.33,-117.17,NorthAmerica,34
YUCHI,Yuchi,yuc,4,35.75,-86.75,NorthAmerica,64
CAYUBABA,Cayuvava,cyb,4,-13.5,-65.5,SouthAmerica,33
WANGAAYBUWAN_NGIYAMBAA,Pama-Nyungan,wyb,4,-31.75,145.5,Oceania,18
INAPARI,Arawakan,inp,4,-12.5,-69.33,SouthAmerica,31
GUATO,Guato,gta,4,-17.0,-58.0,SouthAmerica,25
KUSUNDA,Kusunda,kgg,3,28.0,84.67,Asia,38
WAPPO,Yuki-Wappo,wao,3,38.5,-122.5,NorthAmerica,35
BADIMAYA,Pama-Nyungan,bia,3,-27.67,118.0,Oceania,23
NONUYA,Huitotoan,noj,3,-1.25,-72.5,SouthAmerica,26
KURUAYA,Tupian,kyr,3,-7.0,-55.57,SouthAmerica,28
UCHUMATAQU,Uru-Chipaya,ure,2,-16.75,-69.0,SouthAmerica,33
SPOKANE,Salishan,spo,2,47.67,-117.75,NorthAmerica,43
CHAMICURO,Arawakan,ccc,2,-5.33,-75.5,SouthAmerica,29
ARIKAPU,Nuclear-Macro-Je,ark,2,-12.42,-62.8,SouthAmerica,25
ORO_WIN,Chapacuran,orw,2,-11.09,-64.08,SouthAmerica,18
COEUR_DALENE,Salishan,crd,2,47.25,-116.5,NorthAmerica,48
OFAYE,Nuclear-Macro-Je,opy,2,-22.0,-57.0,SouthAmerica,24
SOUTHEASTERN_POMO,Pomoan,pom,1,39.0,-122.5,NorthAmerica,38
AMURDAK,Iwaidjan_Proper,amg,1,-12.0,133.0,Oceania,24
GAAGUDJU,Gaagudju,gbu,1,-12.62,132.83,Oceania,27
TAUSHIRO,Taushiro,trr,1,-2.5,-76.0,SouthAmerica,17
OLUTA_POPOLUCA,Mixe-Zoque,plo,1,17.95,-95.0,SouthAmerica,32
POMO_NORTHERN,Pomoan,pej,1,39.33,-123.5,NorthAmerica,39
GANGGALIDA,Tangkic,gcd,1,-17.33,138.83,Oceania,24
TEXISTEPEC_ZOQUE,Mixe-Zoque,poq,1,17.9,-94.82,SouthAmerica,29
GUNIN_KWINI,Worrorran,gww,1,-14.25,126.67,Oceania,28
YAVITERO,Arawakan,yvt,1,-1.72,-67.11,SouthAmerica,21
JABUTI,Nuclear-Macro-Je,jbt,1,-12.25,-62.25,SouthAmerica,24
APIAKA,Tupian,api,1,-10.77,-57.0,SouthAmerica,22
UMOTINA,Bororoan,umo,1,-15.0,-57.0,SouthAmerica,20
WICHITA,Caddoan,wic,1,33.33,-97.33,NorthAmerica,29
XIPAYA,Tupian,xiy,1,-12.0,-54.5,SouthAmerica,23
YAMANA,Yamana,yag,1,-55.0,-68.0,SouthAmerica,20
